Aerosol,Can
Aluminium foil,Background
Battery,Background
Aluminium blister pack,Background
Carded blister pack,Background
Clear plastic bottle,Bottle
Glass bottle,Bottle
Other plastic bottle,Bottle
Plastic bottle cap,Background
Metal bottle cap,Background
Broken glass,Background
Drink can,Can
Food Can,Can
Corrugated carton,Background
Drink carton,Background
Egg carton,Background
Meal carton,Background
Other carton,Background
Paper cup,Background
Disposable plastic cup,Background
Foam cup,Background
Glass cup,Background
Other plastic cup,Background
Food waste,Background
Plastic lid,Background
Metal lid,Background
Magazine paper,Background
Tissues,Background
Wrapping paper,Background
Normal paper,Background
Paper bag,Background
Plastified paper bag,Background
Pizza box,Background
Garbage bag,Background
Single-use carrier bag,Background
Polypropylene bag,Background
Produce bag,Background
Cereal bag,Background
Bread bag,Background
Plastic film,Background
Crisp packet,Background
Other plastic wrapper,Background
Retort pouch,Background
Spread tub,Background
Tupperware,Background
Disposable food container,Background
Foam food container,Background
Other plastic container,Background
Plastic glooves,Background
Plastic utensils,Background
Pop tab,Background
Rope & strings,Background
Scrap metal,Background
Shoe,Background
Six pack rings,Background
Squeezable tube,Background
Plastic straw,Background
Paper straw,Background
Styrofoam piece,Background
Toilet tube,Background
Unlabeled litter,Background
Glass jar,Background
Other plastic,Background
Cigarette,Background
